ID,Nome_Empresa,Receita_Anual,Margem_Liquida,Endividamento,Setor,Regiao,Tempo_Operacao,Auditoria_Externa,Rating_Credito,Tipo_Empresa,Politica_Sustentabilidade,Estrategia_Expansao,Gestao_Risco,Cobertura_Seguros,Maturidade_Digital,Governanca_Corporativa,Cultura_Inovacao,Relacao_Comunidade,Risco_Credito,Risco_Compliance,Risco_Mercado
26,Dunn-Hampton,9989550,0.034053967917337495,0.35906491515151445,Saúde,América do Norte,48,0,0.7890228445481342,Limitada,Baixa,Aquisições,Decentralizada,Nenhuma,Inicial,Alta,Conservadora,Boa,0,1,0
27,Brown Inc,3375709,-0.14714764533727756,1.744715238678096,Manufatura,Europa,44,1,0.11910653587671627,MEI,Alta,Orgânica,Centralizada,Básica,Intermediária,Alta,Inovadora,Excelente,1,0,0
28,Morrison Inc,184654,0.32727235452321557,0.3204901305041073,Manufatura,Europa,40,0,0.14054712799554292,Limitada,Baixa,Orgânica,Centralizada,Básica,Avançada,Média,Conservadora,Excelente,1,0,1
29,"Mora, Ayala and Perry",5247581,-0.009388701695790414,2.4163113811047916,Tecnologia,Europa,24,1,0.2864737377445836,Limitada,Baixa,Aquisições,Centralizada,Ampla,Inicial,Fraca,Neutra,Ruim,1,0,0
30,Tran LLC,2054354,0.4282012868732189,1.272145912155855,Tecnologia,América Latina,17,0,0.5180771651975611,MEI,Alta,Aquisições,Centralizada,Básica,Inicial,Alta,Neutra,Excelente,0,0,0
31,Mosley-Smith,8342680,0.1686049266615056,0.4616226585037057,Tecnologia,Ásia,7,1,0.7480160766994024,Limitada,Alta,Aquisições,Decentralizada,Ampla,Inicial,Fraca,Neutra,Boa,0,0,0
32,Smith LLC,2528388,0.3605248400402847,0.9217207264805115,Saúde,Europa,43,0,0.8365308907609035,Limitada,Baixa,Aquisições,Decentralizada,Ampla,Avançada,Alta,Neutra,Ruim,0,0,0
33,"Rios, Rodriguez and Cochran",9016786,0.48525200493117276,1.0921994783086275,Tecnologia,Ásia,1,1,0.7043353159571805,MEI,Baixa,Orgânica,Centralizada,Ampla,Intermediária,Média,Neutra,Ruim,0,0,1
34,"Davis, Gonzalez and Marks",2763046,0.3878522016195993,1.9196440265836896,Tecnologia,Europa,35,1,0.9285968815306384,Multinacional,Média,Parcerias,Centralizada,Nenhuma,Intermediária,Média,Inovadora,Regular,1,0,0
35,Knight Group,5599720,0.4068956320080664,1.8842170865838623,Saúde,Europa,32,0,0.7387435096159303,Multinacional,Alta,Parcerias,Decentralizada,Ampla,Inicial,Fraca,Neutra,Excelente,1,0,0
36,"Owens, Frederick and Butler",6740913,0.08558914675539127,1.5686572128095944,Saúde,América Latina,36,1,0.3062678870046147,Limitada,Baixa,Orgânica,Centralizada,Básica,Inicial,Média,Neutra,Ruim,1,0,0
37,"James, Hall and Norman",3516664,0.1862058166815378,0.3542337101403831,Financeiro,América do Norte,13,0,0.2650812843385726,Limitada,Alta,Parcerias,Centralizada,Ampla,Inicial,Alta,Inovadora,Boa,1,0,0
38,Sanchez PLC,3485659,-0.02227800516968702,0.46376649181041657,Tecnologia,América Latina,6,0,0.6961924503010899,MEI,Média,Orgânica,Centralizada,Ampla,Inicial,Média,Inovadora,Ruim,0,1,0
39,"Moreno, Ramos and Jimenez",3485357,-0.06272083021458305,0.3250166095493359,Tecnologia,Europa,14,0,0.19287056868961427,MEI,Baixa,Parcerias,Decentralizada,Ampla,Avançada,Alta,Inovadora,Ruim,1,1,0
40,Harrison-Jordan,1565689,0.15385551537422362,1.48521467989012,Tecnologia,Europa,37,1,0.09271481081026989,Multinacional,Baixa,Aquisições,Decentralizada,Nenhuma,Inicial,Alta,Conservadora,Regular,1,0,0
41,Mitchell PLC,168148,0.21653428579029438,2.2051322596273693,Financeiro,América do Norte,48,1,0.5322228748561939,S.A.,Baixa,Aquisições,Centralizada,Básica,Avançada,Média,Conservadora,Boa,1,0,1
42,Thompson LLC,1925665,0.037489872127333644,1.1411212294114523,Tecnologia,Ásia,15,0,0.8216415697789553,Limitada,Alta,Aquisições,Centralizada,Nenhuma,Inicial,Alta,Neutra,Boa,0,1,0
43,Weiss-Oneal,2845683,0.19861046243445019,0.48603561749859087,Financeiro,Ásia,47,0,0.10137984246986353,S.A.,Média,Orgânica,Centralizada,Básica,Intermediária,Alta,Neutra,Excelente,1,0,0
44,Sanchez-Bennett,4156518,0.421222337759452,1.4393015803575209,Manufatura,Europa,4,1,0.7918913237957292,S.A.,Alta,Orgânica,Centralizada,Nenhuma,Intermediária,Fraca,Neutra,Boa,0,0,1
45,Castaneda Ltd,2769995,0.18970510934835622,2.0482053204777038,Financeiro,Ásia,40,1,0.8115720043515481,MEI,Baixa,Parcerias,Centralizada,Básica,Inicial,Fraca,Conservadora,Ruim,1,0,0
46,Wilson and Sons,5097895,0.30456916741735457,1.880108947631032,Manufatura,Europa,16,1,0.48227400008154353,Limitada,Média,Parcerias,Centralizada,Nenhuma,Inicial,Fraca,Neutra,Boa,1,0,0
47,Young-Cohen,6497986,0.3637204771505335,2.2154818712200512,Tecnologia,América do Norte,28,0,0.05731031001048681,Limitada,Baixa,Parcerias,Decentralizada,Ampla,Avançada,Média,Neutra,Boa,1,0,0
48,Richardson-Arnold,1970928,0.49211014736880987,0.7669650333972827,Manufatura,América do Norte,16,0,0.1745898512471864,MEI,Baixa,Orgânica,Decentralizada,Nenhuma,Inicial,Fraca,Conservadora,Ruim,1,0,0
49,Wood PLC,4255299,0.22223818152388566,0.5654892814426596,Financeiro,Europa,4,0,0.7074262751619323,S.A.,Alta,Parcerias,Centralizada,Nenhuma,Inicial,Alta,Inovadora,Regular,0,0,1
50,Robbins-Lopez,6349859,0.3647951042738102,2.211559566260653,Saúde,América do Norte,45,0,0.7117779449909495,MEI,Baixa,Aquisições,Decentralizada,Ampla,Inicial,Média,Conservadora,Excelente,1,0,0
51,"Lindsey, Clark and Hunt",2405413,0.47385452298841224,1.6781447506672553,Manufatura,América Latina,26,0,0.8983552751676653,Multinacional,Média,Parcerias,Centralizada,Ampla,Intermediária,Média,Neutra,Excelente,0,0,0
52,"Spencer, Cole and Stevens",4010197,0.46108680790409134,0.84622943201813,Manufatura,América Latina,28,1,0.5826861465545828,Limitada,Baixa,Aquisições,Centralizada,Básica,Avançada,Média,Conservadora,Regular,0,0,0
53,Fox-Gray,5658019,-0.10124270585560052,1.881635321374022,Tecnologia,América do Norte,32,0,0.1241073677137774,Multinacional,Baixa,Orgânica,Decentralizada,Básica,Intermediária,Média,Inovadora,Ruim,1,1,0
54,Padilla and Sons,5514709,0.08447461579146538,2.0562841227528827,Financeiro,Europa,45,1,0.12141490550497214,MEI,Alta,Aquisições,Decentralizada,Básica,Avançada,Alta,Inovadora,Excelente,1,0,0
55,Hoffman Group,371836,0.026793042774759707,1.5759477768187176,Manufatura,Europa,2,1,0.7211323573568237,Limitada,Média,Aquisições,Centralizada,Nenhuma,Intermediária,Alta,Inovadora,Regular,0,0,1
56,Walters-Pope,3684702,-0.13915248953475548,1.7509218637117963,Manufatura,América do Norte,31,0,0.18378466510790115,Multinacional,Alta,Aquisições,Centralizada,Básica,Inicial,Fraca,Inovadora,Regular,1,1,0
57,"Pena, Taylor and Hess",7381369,0.24326854243767235,1.000623770662399,Manufatura,Ásia,3,1,0.32838549961660535,Multinacional,Baixa,Orgânica,Decentralizada,Nenhuma,Intermediária,Média,Inovadora,Regular,1,0,1
58,Humphrey-Wilson,2399435,0.31513322923720155,1.3928696016232938,Manufatura,América Latina,8,0,0.4872120069219139,S.A.,Alta,Orgânica,Decentralizada,Nenhuma,Intermediária,Fraca,Inovadora,Excelente,0,0,0
59,Garcia-Jackson,8685377,0.3936896668268184,1.3579820097427893,Saúde,Ásia,24,1,0.0247648775761512,Limitada,Alta,Orgânica,Centralizada,Básica,Avançada,Alta,Neutra,Excelente,1,0,0
60,Diaz-Jones,2758505,-0.11405617723610406,2.1353146987138523,Financeiro,Europa,15,0,0.24881902701993186,Multinacional,Alta,Orgânica,Centralizada,Básica,Avançada,Média,Neutra,Excelente,1,1,0
61,Williams-Phelps,1371741,0.41351085311270563,2.115913552677238,Tecnologia,Europa,43,0,0.40788960850728007,Multinacional,Alta,Parcerias,Centralizada,Nenhuma,Intermediária,Alta,Conservadora,Excelente,1,0,0
62,Mcguire Group,3869315,0.2500478945299772,2.0984331264329037,Tecnologia,Ásia,31,1,0.27963631849320625,S.A.,Baixa,Orgânica,Decentralizada,Ampla,Avançada,Fraca,Neutra,Boa,1,0,0
63,"Jensen, Stewart and Hutchinson",1146797,0.2927622945969566,0.1264758742299179,Saúde,América do Norte,9,0,0.13637032746756583,Multinacional,Baixa,Aquisições,Centralizada,Ampla,Avançada,Alta,Inovadora,Regular,1,0,0
64,Lara-Joyce,3147262,0.4374368024782127,1.8989091627253318,Financeiro,Ásia,39,1,0.7280122577961974,Multinacional,Média,Orgânica,Decentralizada,Nenhuma,Avançada,Média,Neutra,Boa,1,0,0
65,Allen PLC,664685,0.23733288973027572,1.9208233362664116,Manufatura,Ásia,45,0,0.8131476551679849,Multinacional,Alta,Parcerias,Centralizada,Básica,Avançada,Média,Conservadora,Regular,1,0,0
66,Porter Ltd,2979190,0.03510610000488453,1.7281091748523403,Saúde,América Latina,2,0,0.25747897614372484,S.A.,Alta,Parcerias,Decentralizada,Nenhuma,Avançada,Fraca,Inovadora,Excelente,1,1,1
67,Mooney-White,5696411,0.3775751319958618,1.9150351789394862,Financeiro,América Latina,8,0,0.7744194946063033,Multinacional,Média,Parcerias,Decentralizada,Nenhuma,Intermediária,Média,Neutra,Excelente,1,0,0
68,"Martinez, Hill and Gonzales",9800344,0.05414144853656334,2.1207288915921008,Manufatura,Ásia,7,1,0.38555356440131383,Multinacional,Alta,Aquisições,Decentralizada,Básica,Avançada,Alta,Neutra,Boa,1,0,0
69,Velasquez-Howell,1107293,-0.17604032242562961,1.2287657298442856,Saúde,Ásia,44,1,0.5066857908540028,Limitada,Média,Orgânica,Decentralizada,Ampla,Inicial,Alta,Conservadora,Ruim,0,0,0
70,"Bailey, Dunn and Anderson",4874183,0.3814581545956748,1.3049205123722731,Financeiro,Europa,39,0,0.8560010748931528,Limitada,Baixa,Orgânica,Centralizada,Nenhuma,Intermediária,Alta,Inovadora,Excelente,0,0,0
71,"Gray, Mason and Thomas",3466612,0.041634501416892886,0.39931373658733715,Tecnologia,América Latina,42,1,0.7499536818024078,S.A.,Média,Orgânica,Decentralizada,Ampla,Intermediária,Alta,Conservadora,Ruim,0,0,0
72,Tucker-Banks,8511855,0.34168416624093817,1.0249021193136683,Tecnologia,América Latina,16,0,0.8051168513161777,MEI,Alta,Aquisições,Decentralizada,Ampla,Intermediária,Fraca,Inovadora,Regular,0,0,0
73,"Powell, Garcia and Sloan",5367180,0.05393052626616178,1.6440764317882823,Financeiro,Europa,35,1,0.13684516658635681,Limitada,Média,Aquisições,Decentralizada,Básica,Avançada,Alta,Inovadora,Boa,1,0,0
74,Hall Ltd,7907313,0.4027476139823051,1.9729594627534588,Tecnologia,América do Norte,30,1,0.06971942583372948,S.A.,Baixa,Parcerias,Centralizada,Nenhuma,Inicial,Fraca,Neutra,Ruim,1,0,0
75,Jones-Collins,2804238,-0.04634263244332893,0.6213018344589053,Financeiro,América Latina,10,0,0.8934047290879871,Multinacional,Alta,Parcerias,Centralizada,Nenhuma,Avançada,Alta,Conservadora,Ruim,0,1,0
76,Johnson-Odonnell,2730708,0.48218308563920886,0.430774957982165,Manufatura,América Latina,38,0,0.38783426957109435,Multinacional,Baixa,Orgânica,Centralizada,Ampla,Intermediária,Fraca,Conservadora,Excelente,1,0,0
77,Parrish LLC,3594679,0.3458311423516215,1.6913008108011813,Financeiro,América do Norte,18,0,0.28787967806968084,S.A.,Baixa,Aquisições,Centralizada,Ampla,Intermediária,Alta,Conservadora,Ruim,1,0,0
78,Hill-Duncan,5617209,-0.12003345185572223,0.10451172045978555,Manufatura,América Latina,5,0,0.7246962542618245,Multinacional,Média,Aquisições,Centralizada,Básica,Intermediária,Alta,Inovadora,Ruim,0,1,0
79,"Williams, Smith and Harrington",1867640,0.1960436339765923,0.5280942023375916,Saúde,América Latina,29,0,0.8364155965798566,Multinacional,Baixa,Orgânica,Centralizada,Ampla,Intermediária,Fraca,Conservadora,Regular,0,0,0
80,Morgan Group,6823771,0.4897571185692142,0.16977131282548896,Financeiro,América do Norte,39,1,0.8624896218983009,MEI,Alta,Orgânica,Decentralizada,Básica,Avançada,Média,Inovadora,Boa,0,0,0
81,"Ware, Guerra and Porter",1385160,0.12974581688567005,0.5005242828516903,Saúde,América do Norte,34,1,0.31599714112522737,Multinacional,Baixa,Parcerias,Decentralizada,Nenhuma,Inicial,Média,Conservadora,Excelente,1,0,0
82,"Acevedo, Keith and Turner",6180526,-0.07252500282489174,0.5351662718212126,Tecnologia,Ásia,43,0,0.852212391201674,Limitada,Baixa,Parcerias,Decentralizada,Básica,Inicial,Média,Conservadora,Excelente,0,1,0
83,"Kennedy, Wilcox and Sanchez",5273036,0.1393448570052423,1.030416627400946,Manufatura,Europa,45,0,0.04093394437434539,Multinacional,Média,Parcerias,Centralizada,Ampla,Intermediária,Fraca,Neutra,Ruim,1,0,0
84,Rogers-West,1525472,0.15872035911734508,1.0655850992477343,Financeiro,Europa,23,0,0.049661491459718876,S.A.,Baixa,Orgânica,Decentralizada,Nenhuma,Inicial,Média,Conservadora,Regular,1,0,0
85,Murphy and Sons,148984,0.3191808609600658,2.1982299294645706,Saúde,América do Norte,5,1,0.6235191951741544,MEI,Média,Orgânica,Decentralizada,Básica,Intermediária,Média,Neutra,Ruim,1,0,1
86,Jones Group,6656168,0.28919209721263306,1.3242633099971803,Manufatura,América do Norte,30,0,0.06310636911554623,Multinacional,Média,Parcerias,Centralizada,Nenhuma,Intermediária,Fraca,Neutra,Ruim,1,0,0
87,Duran-Thompson,1604384,0.08178503051788635,1.836171437469487,Manufatura,América Latina,6,0,0.3246091685101615,S.A.,Alta,Parcerias,Decentralizada,Básica,Inicial,Média,Inovadora,Excelente,1,1,0
88,"Hanna, Payne and Miller",2330919,-0.04738382475413948,0.3499296590086899,Tecnologia,Ásia,46,1,0.672755986246924,Limitada,Alta,Aquisições,Centralizada,Ampla,Intermediária,Média,Conservadora,Ruim,0,0,0
89,"Holland, Leon and Ross",7040119,0.25153791743853054,0.6410530131128652,Tecnologia,Ásia,44,1,0.33726689605422633,Multinacional,Alta,Aquisições,Decentralizada,Ampla,Inicial,Média,Conservadora,Ruim,1,0,0
90,Ballard LLC,1837095,0.09519275418729724,1.7870642583488243,Manufatura,América do Norte,4,1,0.17959978144009592,MEI,Alta,Parcerias,Centralizada,Nenhuma,Intermediária,Fraca,Conservadora,Regular,1,0,1
91,Warren PLC,4880450,-0.10740665221226875,0.2267295051244674,Manufatura,América Latina,29,1,0.28135062185384163,Multinacional,Média,Parcerias,Centralizada,Nenhuma,Inicial,Fraca,Neutra,Excelente,1,0,0
92,"Blake, Giles and Davidson",7569344,0.4304006108654699,1.2678343893850075,Financeiro,América Latina,23,0,0.4575753322504318,S.A.,Baixa,Aquisições,Centralizada,Nenhuma,Intermediária,Média,Conservadora,Boa,0,0,0
93,"Williams, Anderson and Sullivan",2209818,0.28385530032675804,1.5384855175910412,Manufatura,Europa,6,1,0.4753858553554824,MEI,Alta,Parcerias,Decentralizada,Básica,Inicial,Média,Inovadora,Regular,0,0,0
94,Chan PLC,2331785,0.27822869951183693,1.5451495457259545,Financeiro,Europa,32,1,0.783000231347202,Multinacional,Alta,Aquisições,Decentralizada,Ampla,Intermediária,Fraca,Inovadora,Regular,0,0,0
95,Larson PLC,3953339,0.3758087131381717,0.15503874704330087,Manufatura,América Latina,42,0,0.7501532294315125,Limitada,Alta,Aquisições,Centralizada,Nenhuma,Intermediária,Média,Conservadora,Regular,0,0,0
96,Smith PLC,9567719,0.1707631750585567,0.8730592101500452,Tecnologia,Europa,18,0,0.4568178045561352,MEI,Baixa,Aquisições,Centralizada,Nenhuma,Intermediária,Fraca,Neutra,Excelente,0,0,0
97,Boyd-Foley,1096107,0.37053809988171993,1.6275775625179696,Financeiro,América do Norte,15,0,0.8456673490987714,Limitada,Alta,Orgânica,Decentralizada,Nenhuma,Inicial,Média,Inovadora,Ruim,0,0,0
98,Davis Group,7230144,0.14866352745770398,0.45759936675818425,Saúde,América Latina,40,1,0.11423713859139584,S.A.,Baixa,Orgânica,Decentralizada,Básica,Avançada,Fraca,Inovadora,Boa,1,0,0
99,James Inc,4645583,-0.15297722005900297,1.7689975559873277,Tecnologia,Europa,32,0,0.2553533502289015,Multinacional,Média,Parcerias,Centralizada,Nenhuma,Intermediária,Alta,Neutra,Excelente,1,1,0
100,"Nguyen, Potter and Duran",3847389,0.0836736616193821,1.8902205011528188,Financeiro,Ásia,9,1,0.8279764635022515,Limitada,Média,Aquisições,Decentralizada,Nenhuma,Intermediária,Alta,Inovadora,Ruim,1,0,0
101,Johnson PLC,4242807,0.14822542578592338,2.4567260570707488,Financeiro,América Latina,37,1,0.3779940386261531,S.A.,Média,Orgânica,Decentralizada,Básica,Inicial,Fraca,Neutra,Regular,1,0,0
102,Park PLC,8088004,0.304141807142607,0.6036207876553826,Saúde,América Latina,10,1,0.9811815587938422,Multinacional,Baixa,Parcerias,Decentralizada,Básica,Intermediária,Alta,Inovadora,Excelente,0,0,0
103,Serrano Ltd,6345035,-0.12539488890992798,2.0803136023986766,Financeiro,Ásia,20,0,0.4662532815278354,S.A.,Alta,Parcerias,Centralizada,Nenhuma,Intermediária,Média,Neutra,Ruim,1,1,0
104,Hughes Ltd,3702279,-0.10198702293768572,1.3487117846047696,Manufatura,América do Norte,6,1,0.7919356229637641,Limitada,Alta,Parcerias,Centralizada,Nenhuma,Intermediária,Fraca,Inovadora,Boa,0,0,0
105,Martinez-Lamb,5615989,-0.015421338155768516,0.9963102307460162,Saúde,Ásia,48,0,0.40230704138237194,S.A.,Alta,Parcerias,Decentralizada,Básica,Intermediária,Fraca,Conservadora,Boa,0,1,0
106,Snyder Ltd,2221690,-0.013451124640382473,0.39370421758042706,Tecnologia,América Latina,3,0,0.4249535190624304,MEI,Alta,Parcerias,Centralizada,Ampla,Avançada,Média,Inovadora,Ruim,0,1,1
107,"Rodgers, Long and King",591234,0.3125292049213436,1.86521345557009,Tecnologia,América do Norte,42,0,0.3828831472841835,Multinacional,Alta,Aquisições,Decentralizada,Básica,Avançada,Média,Inovadora,Excelente,1,0,0
108,"King, Williams and Cline",5501218,-0.024488537606881588,0.666058237944849,Manufatura,Europa,11,1,0.7190756205108118,S.A.,Baixa,Parcerias,Decentralizada,Ampla,Intermediária,Fraca,Conservadora,Regular,0,0,0
109,Norman-Mitchell,7014550,0.24316864435021326,0.9914128044953098,Tecnologia,Europa,43,1,0.5475178840599945,Limitada,Média,Aquisições,Centralizada,Nenhuma,Intermediária,Média,Conservadora,Ruim,0,0,0
110,"Malone, King and Le",6267294,0.14599169509678994,0.25010134455368427,Financeiro,Europa,17,1,0.9437781113683691,Multinacional,Alta,Orgânica,Centralizada,Nenhuma,Intermediária,Fraca,Conservadora,Regular,0,0,0
111,"Russell, Lawson and Jackson",9386029,0.2013060647255804,2.0232805979668456,Financeiro,América Latina,32,0,0.25089031653410476,MEI,Média,Parcerias,Centralizada,Ampla,Avançada,Média,Conservadora,Boa,1,0,0
112,"Rice, Stevens and Osborne",7006726,0.386674874224807,1.939812457531944,Manufatura,Ásia,4,1,0.10056273208344435,Multinacional,Baixa,Orgânica,Decentralizada,Básica,Avançada,Fraca,Neutra,Ruim,1,0,1
113,Brown and Sons,5988794,0.08306705108431699,1.86067799210155,Tecnologia,América do Norte,4,1,0.3932614850992152,MEI,Baixa,Aquisições,Decentralizada,Nenhuma,Inicial,Média,Neutra,Boa,1,0,1
114,"Sims, Miller and Gonzalez",7658158,0.3396379639449893,0.818664425180528,Tecnologia,Europa,17,1,0.616712707646776,Multinacional,Alta,Aquisições,Centralizada,Ampla,Inicial,Média,Inovadora,Regular,0,0,0
115,"Hayes, Brown and Williams",6610425,0.09542524168548111,0.5163521782382974,Manufatura,América do Norte,41,1,0.860798936915495,S.A.,Baixa,Orgânica,Centralizada,Básica,Intermediária,Alta,Inovadora,Regular,0,0,0
116,"Santos, Russell and Gill",8611017,0.04770996359287459,1.6301278347285513,Saúde,América Latina,19,1,0.34619688668032766,S.A.,Média,Parcerias,Centralizada,Ampla,Intermediária,Alta,Inovadora,Ruim,1,0,0
117,Moreno Group,7987739,0.47103902411925436,1.2907993218717266,Tecnologia,Europa,5,0,0.6537867511244616,Limitada,Alta,Parcerias,Decentralizada,Básica,Avançada,Alta,Neutra,Ruim,0,0,0
118,"Brown, Wu and Gardner",869598,-0.07094035552472577,0.5278059205711398,Saúde,América Latina,32,0,0.35019868102321905,MEI,Alta,Orgânica,Decentralizada,Básica,Intermediária,Média,Inovadora,Ruim,1,1,0
119,Robbins Ltd,5392895,-0.1367641275956745,1.7461870505196728,Tecnologia,Ásia,22,0,0.6172195829944581,Limitada,Média,Orgânica,Decentralizada,Básica,Intermediária,Fraca,Inovadora,Boa,0,1,0
120,Daugherty Inc,8071379,0.3396901478748349,2.478703436371129,Tecnologia,América Latina,6,0,0.8848079470306509,S.A.,Alta,Orgânica,Centralizada,Básica,Avançada,Média,Neutra,Regular,1,0,0
121,Small Group,3431068,-0.1522252062521359,1.8933270105808904,Tecnologia,América Latina,35,1,0.23135764225940902,MEI,Alta,Parcerias,Centralizada,Ampla,Avançada,Alta,Inovadora,Regular,1,0,0
122,Lawrence Inc,3356415,0.38595529349212054,1.8759673280454683,Tecnologia,Ásia,22,0,0.40424164210703917,Limitada,Média,Parcerias,Decentralizada,Ampla,Avançada,Média,Neutra,Boa,1,0,0
123,"Sheppard, Bradford and Bryant",974371,0.10603537745007044,2.38075060703342,Financeiro,América do Norte,1,1,0.9932651964297465,Limitada,Alta,Parcerias,Centralizada,Ampla,Avançada,Alta,Neutra,Ruim,1,0,1
